timestamp,speed,steering_angle,direction,ultrasonic,Infrared
1763721835.3999496,22,45,1,27,0
1763721835.4389827,22,45,1,26,0
1763721835.4779906,22,45,1,26,1
1763721835.5198636,22,45,1,-4,1
1763721835.5649395,30,70,1,-4,1
1763721835.6049576,30,70,1,25,1
1763721835.642742,30,70,1,25,1
1763721835.681745,30,70,1,23,1
1763721835.7285757,30,70,1,23,1
1763721835.7755558,30,70,1,22,1
1763721835.8200512,30,90,1,17,2
1763721835.8653026,30,90,1,15,2
1763721835.9104233,30,90,1,13,2
1763721835.9513562,30,90,1,12,2
1763721835.988912,30,90,1,12,2
1763721836.0259197,30,90,1,11,2
1763721836.0622737,30,90,1,10,2
1763721836.099171,30,110,1,9,3
1763721836.142052,30,110,1,-4,3
1763721836.1819215,30,110,1,7,3
1763721836.216865,30,110,1,6,3
1763721836.2516806,30,110,1,6,3
1763721836.2865622,30,110,1,7,3
1763721836.3185015,0,90,0,5,3
1763721841.333018,0,90,0,21,3
1763721841.3530595,30,110,1,21,3
1763721841.3895283,30,110,1,21,3
1763721841.4260788,30,110,1,20,3
1763721841.4624202,30,110,1,20,3
1763721841.498806,30,110,1,20,3
1763721841.539437,30,110,1,20,3
1763721841.5756671,30,110,1,20,3
1763721841.6118255,30,110,1,19,3
1763721841.6479855,30,110,1,20,3
1763721841.6840665,30,90,1,19,2
1763721841.7203987,30,90,1,18,2
1763721841.759475,30,90,1,20,2
1763721841.7957177,30,90,1,21,3
1763721841.8320632,30,110,1,21,3
1763721841.868041,30,110,1,15,3
1763721841.9037738,30,110,1,14,3
1763721841.9394062,30,110,1,15,3
1763721841.9748545,30,110,1,14,3
1763721842.010209,30,110,1,12,3
1763721842.0455475,30,110,1,12,3
1763721842.0819016,30,110,1,11,3
1763721842.1275272,30,110,1,11,3
1763721842.172959,30,110,1,11,3
1763721842.2092395,30,110,1,9,2
1763721842.244148,30,90,1,7,3
1763721842.2792003,30,110,1,11,3
1763721842.316808,30,110,1,10,2
1763721842.3515005,30,90,1,7,3
1763721842.38634,30,90,1,6,2
1763721842.421159,30,90,1,7,2
1763721842.4533286,0,90,0,7,3
1763721847.4750912,0,90,0,54,3
1763721847.5061684,30,110,1,54,3
1763721847.556907,30,110,1,54,3
1763721847.60175,30,110,1,53,3
1763721847.643574,30,110,1,52,3
1763721847.6856596,30,110,1,52,3
1763721847.7299712,30,110,1,52,3
1763721847.7796009,30,110,1,51,3
1763721847.8266375,30,110,1,50,3
1763721847.8710332,30,110,1,49,2
1763721847.9158177,30,90,1,49,2
1763721847.9556181,30,90,1,49,2
1763721847.9959974,30,90,1,48,2
1763721848.0399354,30,90,1,47,2
1763721848.0796368,30,90,1,47,2
1763721848.119485,30,90,1,46,2
1763721848.1589527,30,90,1,46,2
1763721848.1983068,30,90,1,45,2
1763721848.242337,30,90,1,44,2
1763721848.295747,30,90,1,44,2
1763721848.4474514,30,90,1,-4,2
1763721848.601403,30,90,1,-4,2
1763721848.6528478,30,90,1,-4,2
1763721848.6938946,30,90,1,40,2
1763721848.7346263,30,90,1,39,2
1763721848.774168,30,90,1,40,2
1763721848.814465,30,90,1,39,2
1763721848.854646,30,90,1,38,2
1763721848.895183,30,90,1,38,2
1763721848.9354928,30,90,1,37,2
1763721848.9758668,30,90,1,40,2
1763721849.0192459,30,70,1,36,1
1763721849.0596204,30,70,1,40,1
1763721849.1011684,30,70,1,41,1
1763721849.1442368,30,70,1,39,1
1763721849.185996,30,70,1,38,1
1763721849.231851,30,70,1,37,1
1763721849.2809799,22,45,1,32,0
1763721849.3210797,22,45,1,36,0
1763721849.359257,22,45,1,32,0
1763721849.3973954,22,45,1,32,0
1763721849.4359143,22,45,1,29,0
1763721849.4780693,22,45,1,31,0
1763721849.5178552,22,45,1,30,0
1763721849.5554657,22,45,1,29,0
1763721849.593507,22,45,1,28,0
1763721849.6312144,22,45,1,30,0
1763721849.6722188,22,45,1,30,0
1763721849.7116733,22,45,1,-4,0
1763721849.7514105,22,45,1,29,0
1763721849.8089142,22,45,1,30,0
1763721849.8524184,22,45,1,30,0
1763721849.8958187,22,45,1,29,0
1763721850.0393338,0,135,0,33,0
1763721850.3655295,30,135,-1,37,2
1763721850.3798745,30,135,-1,40,2
1763721850.3952274,30,135,-1,39,2
1763721850.446017,30,90,1,97,3
1763721850.4853601,30,110,1,40,3
1763721850.529032,30,110,1,85,3
1763721850.57104,30,110,1,39,3
1763721850.6162446,30,110,1,95,3
1763721850.6608272,30,110,1,89,2
1763721850.702562,30,90,1,-4,2
1763721850.7409189,30,90,1,37,2
1763721850.7791004,30,90,1,38,1
1763721850.8171952,30,70,1,36,1
1763721850.8553045,30,70,1,35,1
1763721850.9054172,30,70,1,35,1
1763721850.9434476,22,45,1,35,0
1763721850.9816036,22,45,1,36,0
1763721851.0195892,22,45,1,36,0
1763721851.063827,22,45,1,34,0
1763721851.1049297,22,45,1,34,0
1763721851.1428165,22,45,1,34,0
1763721851.184159,22,45,1,93,0
1763721851.2247403,22,45,1,79,0
1763721851.2665462,22,45,1,94,1
1763721851.3076403,30,70,1,36,1
1763721851.351475,30,70,1,87,1
1763721851.3954256,30,70,1,85,1
1763721851.4433901,30,70,1,91,1
1763721851.4993923,30,70,1,130,1
1763721851.5529716,30,70,1,117,1
1763721851.6038842,30,70,1,79,1
1763721851.6541274,30,70,1,83,2
1763721851.7033393,30,90,1,77,2
1763721851.752363,30,90,1,74,2
1763721851.8087764,30,90,1,81,2
1763721851.856917,30,90,1,64,2
1763721851.9050188,30,90,1,73,2
1763721851.952556,30,90,1,58,2
1763721852.000422,30,90,1,61,2
1763721852.0501378,30,90,1,57,2
1763721852.1068988,30,90,1,-4,2
1763721852.1529846,30,90,1,52,2
1763721852.2010658,30,110,1,58,3
1763721852.2850773,30,110,1,54,3
1763721852.339891,30,110,1,53,3
1763721852.3804507,30,110,1,53,3
1763721852.421158,30,110,1,57,3
1763721852.4617014,30,110,1,55,3
1763721852.5023053,30,110,1,55,3
1763721852.5447793,30,110,1,55,3
1763721852.6319356,30,110,1,-2,3
1763721852.723756,30,110,1,65,3
1763721852.777053,30,110,1,65,3
1763721852.8197978,30,110,1,52,2
1763721852.8704612,30,90,1,49,2
1763721852.910269,30,90,1,48,2
1763721852.9767108,30,90,1,48,2
1763721853.0308797,30,90,1,48,2
1763721853.1255307,30,90,1,156,2
1763721853.2213936,30,90,1,154,2
1763721853.2863476,30,90,1,145,2
1763721853.3378346,30,90,1,85,2
1763721853.379884,30,70,1,50,1
1763721853.4266603,22,45,1,-4,0
1763721853.5367596,22,45,1,-4,0
1763721853.6152346,22,45,1,-4,0
1763721853.7888114,0,135,0,35,0
1763721854.1109095,30,135,-1,36,3
1763721854.1250496,30,135,-1,37,3
1763721854.1401787,30,135,-1,36,3
1763721854.1814342,22,135,1,37,4
1763721854.2226455,22,135,1,37,4
1763721854.263969,22,135,1,37,4
1763721854.304867,22,135,1,36,4
1763721854.3453977,22,135,1,37,4
1763721854.3856816,22,135,1,36,4
1763721854.426924,22,135,1,37,4
1763721854.4886255,22,135,1,36,4
1763721854.5305822,30,110,1,37,3
1763721854.5689504,30,110,1,36,3
1763721854.6072721,30,90,1,36,2
1763721854.6458132,30,90,1,35,1
1763721854.6841877,30,70,1,34,1
1763721854.7222402,22,45,1,35,0
1763721854.7601593,22,45,1,34,0
1763721854.7980165,22,45,1,34,0
1763721854.8360546,22,45,1,35,0
1763721854.8743558,22,45,1,38,0
1763721855.0666513,0,135,0,130,0
1763721855.3885348,30,135,-1,35,3
1763721855.4035676,30,135,-1,39,3
1763721855.4186924,30,135,-1,37,4
1763721855.4726584,22,135,1,36,4
1763721855.5243914,22,135,1,41,4
1763721855.5731342,22,135,1,40,4
1763721855.6312308,22,135,1,41,4
1763721855.6698022,22,135,1,40,4
1763721855.7080326,22,135,1,37,4
1763721855.7462988,22,135,1,35,4
1763721855.7846355,22,135,1,35,4
1763721855.8229825,30,110,1,39,3
1763721855.8617206,30,110,1,36,3
1763721855.9005375,30,90,1,38,2
1763721855.939814,30,90,1,33,1
1763721856.0270622,22,45,1,-2,0
1763721856.0671983,22,45,1,37,0
1763721856.1080005,22,45,1,-4,0
1763721856.2041492,22,45,1,-2,0
1763721856.303401,22,45,1,215,0
1763721856.4161518,22,45,1,-2,0
1763721856.5125334,22,45,1,212,0
1763721856.5788705,22,45,1,276,0
1763721856.6461277,22,45,1,276,0
1763721856.7056537,22,45,1,187,0
1763721856.7709138,22,45,1,-4,0
1763721856.9404013,0,135,0,275,0
1763721857.309266,30,135,-1,-2,2
1763721857.3371482,30,135,-1,272,2
1763721857.365192,30,135,-1,272,3
1763721857.4315252,30,110,1,274,4
1763721857.5000389,22,135,1,278,4
1763721857.5568342,22,135,1,194,4
1763721857.6180685,22,135,1,272,4
1763721857.6746082,30,110,1,187,3
1763721857.7407317,30,110,1,272,2
1763721857.8166625,30,90,1,216,2
1763721857.8842227,30,70,1,273,0
